path,y_true,y_pred,true_label,pred_label,confidence,correct,subset,sample_id
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_1184__obj14426478__green.jpg,1,1,green,green,1.0,1,correct,0
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_20191215_111910__obj14426843__green.jpg,1,1,green,green,0.9999999,1,correct,1
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_1190__obj14427745__green.jpg,1,1,green,green,0.9999999,1,correct,2
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_1145__obj14426613__green.jpg,1,1,green,green,0.9999999,1,correct,3
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_20191215_111813__obj14428077__green.jpg,1,1,green,green,0.99999976,1,correct,4
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_1152__obj14428774__green.jpg,1,1,green,green,0.99999976,1,correct,5
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_20191215_110645__obj14427590__green.jpg,1,1,green,green,0.99999976,1,correct,6
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_1155__obj14427934__green.jpg,1,1,green,green,0.99999976,1,correct,7
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_20191215_110651__obj14428225__green.jpg,1,1,green,green,0.99999964,1,correct,8
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\green\IMG_20191215_111857__obj14426744__green.jpg,1,1,green,green,0.99999964,1,correct,9
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_1281__obj14428438__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.9955621,1,correct,10
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112417__obj14427264__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.99554056,1,correct,11
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_1224__obj14428255__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.99515283,1,correct,12
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112517__obj14428501__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.99425524,1,correct,13
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112457__obj14428180__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.9933056,1,correct,14
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1005__obj14427847__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9925822,1,correct,15
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_112621__obj14426626__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9918949,1,correct,16
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112843__obj14428170__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.99185985,1,correct,17
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112445__obj14427620__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.99180365,1,correct,18
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_110835__obj14428600__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.9910793,1,correct,19
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112516__obj14429084__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.9909208,1,correct,20
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1137__obj14427077__half_ripened.jpg,2,2,half_ripened,half_ripened,0.99083674,1,correct,21
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\fully_ripened\IMG_20191215_112517__obj14428503__fully_ripened.jpg,0,0,fully_ripened,fully_ripened,0.99064004,1,correct,22
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_112843__obj14428160__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9905606,1,correct,23
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_110820__obj14427518__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9864,1,correct,24
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1137__obj14427091__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9853189,1,correct,25
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_111318__obj14428809__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9839962,1,correct,26
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_111152__obj14428148__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9836073,1,correct,27
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_111143__obj14428766__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9829268,1,correct,28
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_111328__obj14428605__half_ripened.jpg,2,2,half_ripened,half_ripened,0.9824532,1,correct,29
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1084__obj14426668__half_ripened.jpg,2,1,half_ripened,green,0.99999917,0,wrong,30
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_0992__obj14428895__half_ripened.jpg,2,1,half_ripened,green,0.99999654,0,wrong,31
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1241__obj14426799__half_ripened.jpg,2,1,half_ripened,green,0.99999607,0,wrong,32
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_111503__obj14428579__half_ripened.jpg,2,1,half_ripened,green,0.9999958,0,wrong,33
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_112519__obj14428799__half_ripened.jpg,2,1,half_ripened,green,0.999995,0,wrong,34
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1035__obj14427148__half_ripened.jpg,2,1,half_ripened,green,0.99999464,0,wrong,35
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_1281__obj14428441__half_ripened.jpg,2,1,half_ripened,green,0.9999926,0,wrong,36
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_111454_1__obj14428883__half_ripened.jpg,2,1,half_ripened,green,0.99999225,0,wrong,37
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_112526__obj14426592__half_ripened.jpg,2,1,half_ripened,green,0.9999901,0,wrong,38
c:\Users\User\Desktop\LaboroTomato\dataset\cropped\test\half_ripened\IMG_20191215_110705__obj14428961__half_ripened.jpg,2,1,half_ripened,green,0.99998724,0,wrong,39
